Schweizerische Nährwertdatenbank komplett (bearbeitet durch Lesley Grünenfelder) (Stand: 01.02.2023) ;;;;;;;;;;;;;;;;;;;;;;;;;;;Schweizerische Nährwertdatenbank komplett (bearbeitet durch Lesley Grünenfelder) (Stand: 30.01.2023) ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Name;Synonym (neu) ;Unterkategorie  (neu) ;Kategorie (neu) ;Bezugseinheit;Energie, Kilojoule (kJ);Energie, Kalorien (kcal);Fett, total (g);Fettsäuren, gesättigt (g);Fettsäuren, einfach ungesättigt (g);Fettsäuren, mehrfach ungesättigt (g);Cholesterin (mg);Kohlenhydrate, verfügbar (g);Zucker (g);Stärke (g);Nahrungsfasern (g);Protein (g);Salz (NaCl) (g);Alkohol (g);Wasser (g);Vitamin A-Aktivität, RE (µg-RE);Vitamin A-Aktivität, RAE (µg-RE);Retinol (µg);Betacarotin-Aktivität (µg-BCE);Betacarotin (µg);Vitamin B1 (Thiamin) (mg);Vitamin B2 (Riboflavin) (mg);Vitamin B6 (Pyridoxin) (mg);Vitamin B12 (Cobalamin) (µg);Vitamin B3 Niacin (mg);Folat (µg);Vitamin B5 (Pantothensäur)e (mg);Vitamin C (Ascorbinsäure) (mg);Vitamin D (Calciferol) (µg);Vitamin E-Aktivität (mg-ATE);Kalium (K) (mg);Natrium (Na) (mg);Chlorid (Cl) (mg);Calcium (Ca) (mg);Magnesium (Mg) (mg);Phosphor (P) (mg);Eisen (Fe) (mg);Jod (I) (µg);Zink (Zn)  (mg);Selen (Se) (µg);vegetarisch (ja/nein);vegan (ja/nein);laktosefrei (ja/nein);glutenfrei (ja/nein) 
Flunder;Filet, gedämpft (ohne Zusatz von Fett und Salz) ;Fisch zubereitet ;Fisch, Fischerzeugnisse und Meeresfrüchte;pro 100g essbarer Anteil;292;69;0.8;0.2;0.2;0.2;60;0;0;0;0;15.5;0.4;0;83.7;10;10;10;0;0;0.21;0.18;0.22;1;2.98;9.6;0.6;0.8;0.2;0.45;270;160;140;60;23;200;0.3;7.1;0.6;k.A.;nein;nein;ja;ja
Flunder;roh ;Fisch frisch ;Fisch, Fischerzeugnisse und Meeresfrüchte;pro 100g essbarer Anteil;306;72;0.7;0.1;0.1;0.2;48;0;0;0;0;16.5;0.4;0;81.4;9;9;9;0;0;0.22;0.21;0.25;1;3.4;11;0.68;0.8;0.2;0.36;290;150;130;48;22;190;0.3;6.3;0.5;k.A.;nein;nein;ja;ja
Fondue alkoholfrei;zubereitet ;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;1180;283;21.5;13.4;5.2;1;55;1.6;1;0.6;0;18.7;0.3;1.2;56.6;203;194;185;111;111;0;0.19;0.07;0.99;0.12;3.1;0.18;0;0.3;0.23;100;110;180;680;22;410;0.5;17;3.2;k.A.;ja;nein;nein;ja
Fondue klassisch;zubereitet ;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;1310;315;22.4;13.9;5.4;1;58;1;0.1;0.9;0;19.6;0.3;4.4;52.2;210;201;192;107;107;0.01;0.2;0.07;1.06;0.15;3.8;0.17;0.5;0.3;0.24;88;120;190;710;24;430;0.4;17;3.3;k.A.;ja;nein;nein;ja
Fondue moitié-moitié;zubereitet ;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;1210;291;20.8;12.5;4.9;1;62;1;0;0.9;0;16.7;1;4.7;56.5;278;271;263;91;91;0.01;0.23;0.07;0.95;0.14;7.5;0.25;0.1;0.4;0.39;92;400;550;520;23;360;0.4;16;2.4;k.A.;ja;nein;nein;ja
Forelle;ganz, gekocht (ohne Zusatz von Fett und Salz) ;Fisch zubereitet ;Fisch, Fischerzeugnisse und Meeresfrüchte;pro 100g essbarer Anteil;483;116;6.2;1.5;2;2.2;k.A.;0;0;0;0;15;0.1;0;78.8;11;11;11;0;0;0.08;0.05;0.47;5;k.A.;k.A.;k.A.;k.A.;k.A.;0.57;440;43;k.A.;18;32;230;2;15;0.6;k.A.;nein;nein;ja;ja
Forelle;roh ;Fisch frisch ;Fisch, Fischerzeugnisse und Meeresfrüchte;pro 100g essbarer Anteil;533;127;7;1.7;2.2;2.5;k.A.;0;0;0;0;16;0.1;0;75.3;12;12;12;0;0;0.08;0.06;0.54;5;k.A.;k.A.;k.A.;k.A.;k.A.;0.65;470;40;k.A.;14;30;220;2;14;0.4;k.A.;nein;nein;ja;ja
Fotzelschnitte ungezuckert ;;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;930;222;9.9;5.1;2.6;0.9;104;24.5;1.7;22.5;1.2;8;0.9;0;56.7;81;79;78;17;17;0.06;0.14;0.05;0.3;0.24;19.5;0.66;0.2;0.7;0.49;140;370;620;56;13;100;0.7;12;0.6;6.4;ja;nein;nein;nein
Fotzelschnitte ungezuckert ;;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;930;222;9.9;5.1;2.6;0.9;104;24.5;1.7;22.5;1.2;8;0.9;0;56.7;81;79;78;17;17;0.06;0.14;0.05;0.3;0.24;19.5;0.66;0.2;0.7;0.49;140;370;620;56;13;100;0.7;12;0.6;6.4;ja;nein;nein;nein
Fotzelschnitte ungezuckert ;;süsse Gerichte ;Gerichte;pro 100g essbarer Anteil;930;222;9.9;5.1;2.6;0.9;104;24.5;1.7;22.5;1.2;8;0.9;0;56.7;81;79;78;17;17;0.06;0.14;0.05;0.3;0.24;19.5;0.66;0.2;0.7;0.49;140;370;620;56;13;100;0.7;12;0.6;6.4;ja;nein;nein;nein
Freiburger Vacherin ;;Käse, Hartkäse;Milch und Milchprodukte;pro 100g essbarer Anteil;1540;370;30.4;18.2;7.1;1.4;91;0;0;0;0;23.5;1.5;0;42.3;525;513;500;150;150;0.01;0.33;0.09;1.62;0.14;33.2;0.42;Sp.;0.4;0.81;88;600;760;640;25;460;0.1;27;2.7;k.A.;ja;nein;nein;ja
Frischkäse;Doppelrahm ;Käse, Frischkäse;Milch und Milchprodukte;pro 100g essbarer Anteil;1450;351;32.1;19.2;7.5;1.5;96;4.5;2.3;Sp.;0;11.1;1.3;0;52;325;313;300;150;150;0.04;0.26;0.06;0.6;0.11;26.5;0.44;Sp.;Sp.;0.7;100;500;570;110;8;130;0.2;8;0.4;k.A.;ja;nein;nein;ja
Fruchtcocktail;in Sirup, Konserve, abgetropft ;Früchte konserviert ;Früchte;pro 100g essbarer Anteil;326;77;0.2;0;0;0.1;0;17.3;16.2;0;1.8;0.6;0;0;80.1;10;5;0;61;61;0.01;0.02;0.02;0;0.32;4.5;0.11;4.1;0;0.57;100;1;26;8.2;7.4;15;0.1;1.8;0.1;1;ja;ja;ja;ja
Fruchtcocktail;mit Süssungsmittel, Konserve, abgetropft ;Früchte konserviert ;Früchte;pro 100g essbarer Anteil;197;47;0.2;0;0;0.1;0;9.5;8.4;0;2;0.7;0;0;87.6;11;5;0;66;66;0.02;0.02;0.02;0;0.35;4.8;0.12;4.4;0;0.62;110;1;28;8.7;8;16;0.2;2;0.1;1.1;ja;ja;ja;ja
Früchte (Durchschnitt);gekocht (ohne Zugabe von Zucker) ;Früchte zubereitet ;Früchte;pro 100g essbarer Anteil;210;50;0.4;0.1;0;0.1;0;9.9;9.3;0;2.2;0.6;0;0;86.9;27;14;0;164;164;0.01;0.02;0.03;0;0.24;7.5;0.12;7.3;0;0.4;120;1.1;58;14;8.5;18;0.2;1.4;0.1;0.7;ja;ja;ja;ja
Früchte (Durchschnitt);getrocknet ;Früchte getrocknet ;Früchte;pro 100g essbarer Anteil;1180;278;1.1;0.3;0.3;0.3;0;60.5;51.8;2.4;8.2;2.5;0.1;0;27.7;107;53;0;639;639;0.06;0.07;0.22;0;1.2;30.4;0.4;5.1;0;1.89;810;23;53;70;53;75;1.4;3.9;0.4;k.A.;ja;ja;ja;ja
Früchte (Durchschnitt);roh ;Früchte frisch ;Früchte;pro 100g essbarer Anteil;229;54;0.2;0;0;0.1;0;11.3;10.2;0.6;2.1;0.6;0;0;85.7;23;11;0;136;136;0.04;0.02;0.07;0;0.3;15.6;0.14;20.4;0;0.28;180;1.1;38;14;12;21;0.2;1.3;0.1;0.6;ja;ja;ja;ja
Fruchtsaft-Schorle (Durchschnitt;60% Saft - 40% Wasser), ungezuckert ;Fruchtsaft;Getränke;pro 100 ml;133;31;0.1;0;0;0;0;7.4;6.9;0;0.1;0.2;0;0;92.3;1;1;0;8;8;0.02;0.01;0.03;0;0.12;7.5;0.06;7.3;0;0.23;74;4;11;7.4;4.8;7;0.2;0.4;0;k.A.;ja;ja;ja;ja
Fruchtsaft (Durchschnitt);ungezuckert ;Fruchtsaft;Früchte;pro 100 ml;221;52;0.1;0;0;0;0;12.3;11.6;0;0.2;0.4;0;0;87.1;2;1;0;14;14;0.03;0.02;0.05;0;0.2;12.6;0.09;12.1;0;0.38;120;6;18;7.7;7.4;12;0.3;0.7;0.1;1.2;ja;ja;ja;ja
Fruchtsaft (Durchschnitt);ungezuckert ;Fruchtsaft;Getränke;pro 100 ml;221;52;0.1;0;0;0;0;12.3;11.6;0;0.2;0.4;0;0;87.1;2;1;0;14;14;0.03;0.02;0.05;0;0.2;12.6;0.09;12.1;0;0.38;120;6;18;7.7;7.4;12;0.3;0.7;0.1;1.2;ja;ja;ja;ja
Fruchtwähe/-kuchen (Durchschnitt) ;;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;694;166;8.4;3.7;3.1;1;19;18.3;8;9.6;2.6;3;0.2;0;67.9;44;32;21;137;137;0.04;0.05;0.04;0.07;0.25;7.3;0.32;7.3;0.1;1.28;170;80;140;32;13;46;0.4;3;0.3;0.1;ja;nein;nein;nein
Fruchtwähe/-kuchen (Durchschnitt) ;;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;694;166;8.4;3.7;3.1;1;19;18.3;8;9.6;2.6;3;0.2;0;67.9;44;32;21;137;137;0.04;0.05;0.04;0.07;0.25;7.3;0.32;7.3;0.1;1.28;170;80;140;32;13;46;0.4;3;0.3;0.1;ja;nein;nein;nein
Fruchtwähe/-kuchen (Durchschnitt) ;;süsse Gerichte ;Gerichte;pro 100g essbarer Anteil;694;166;8.4;3.7;3.1;1;19;18.3;8;9.6;2.6;3;0.2;0;67.9;44;32;21;137;137;0.04;0.05;0.04;0.07;0.25;7.3;0.32;7.3;0.1;1.28;170;80;140;32;13;46;0.4;3;0.3;0.1;ja;nein;nein;nein
Fruchtwähe/-kuchen mit Blätterteig (Durchschnitt) ;;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;586;140;6.8;2.8;2.7;0.8;18;15.9;6.9;8.3;2.1;2.8;0.3;0;72.5;39;23;8;182;182;0.04;0.05;0.03;0.08;0.23;6.1;0.28;4.9;0.1;1.13;160;110;180;32;10;39;0.3;3.5;0.2;k.A.;ja;nein;nein;nein
Fruchtwähe/-kuchen mit Blätterteig (Durchschnitt) ;;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;586;140;6.8;2.8;2.7;0.8;18;15.9;6.9;8.3;2.1;2.8;0.3;0;72.5;39;23;8;182;182;0.04;0.05;0.03;0.08;0.23;6.1;0.28;4.9;0.1;1.13;160;110;180;32;10;39;0.3;3.5;0.2;k.A.;ja;nein;nein;nein
Fruchtwähe/-kuchen mit Blätterteig (Durchschnitt) ;;süsse Gerichte ;Gerichte;pro 100g essbarer Anteil;586;140;6.8;2.8;2.7;0.8;18;15.9;6.9;8.3;2.1;2.8;0.3;0;72.5;39;23;8;182;182;0.04;0.05;0.03;0.08;0.23;6.1;0.28;4.9;0.1;1.13;160;110;180;32;10;39;0.3;3.5;0.2;k.A.;ja;nein;nein;nein
Fruchtwähe/-kuchen mit Kuchenteig (Durchschnitt) ;;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;596;142;6.6;2.8;2.6;0.8;18;16.6;6.9;9;2.2;3;0.2;0;71.7;39;23;8;182;182;0.04;0.05;0.05;0.08;0.23;6;0.29;4.9;0.1;1.09;160;89;160;33;13;48;0.4;3.5;0.3;k.A.;ja;nein;nein;nein
Fruchtwähe/-kuchen mit Kuchenteig (Durchschnitt) ;;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;596;142;6.6;2.8;2.6;0.8;18;16.6;6.9;9;2.2;3;0.2;0;71.7;39;23;8;182;182;0.04;0.05;0.05;0.08;0.23;6;0.29;4.9;0.1;1.09;160;89;160;33;13;48;0.4;3.5;0.3;k.A.;ja;nein;nein;nein
Fruchtwähe/-kuchen mit Kuchenteig (Durchschnitt) ;;süsse Gerichte ;Gerichte;pro 100g essbarer Anteil;596;142;6.6;2.8;2.6;0.8;18;16.6;6.9;9;2.2;3;0.2;0;71.7;39;23;8;182;182;0.04;0.05;0.05;0.08;0.23;6;0.29;4.9;0.1;1.09;160;89;160;33;13;48;0.4;3.5;0.3;k.A.;ja;nein;nein;nein
Fruchtwähe/-kuchen mit süssem Mürbeteig (Durchschnitt) ;;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;896;215;11.6;5.6;3.9;1.2;19;22.5;10.4;11.7;3.4;3.3;0.1;0;59.4;54;50;46;48;48;0.04;0.05;0.05;0.05;0.28;10;0.4;12.1;0.1;1.63;170;42;81;32;16;51;0.5;2.1;0.3;k.A.;ja;nein;nein;nein
Fruchtwähe/-kuchen mit süssem Mürbeteig (Durchschnitt) ;;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;896;215;11.6;5.6;3.9;1.2;19;22.5;10.4;11.7;3.4;3.3;0.1;0;59.4;54;50;46;48;48;0.04;0.05;0.05;0.05;0.28;10;0.4;12.1;0.1;1.63;170;42;81;32;16;51;0.5;2.1;0.3;k.A.;ja;nein;nein;nein
Fruchtwähe/-kuchen mit süssem Mürbeteig (Durchschnitt) ;;süsse Gerichte ;Gerichte;pro 100g essbarer Anteil;896;215;11.6;5.6;3.9;1.2;19;22.5;10.4;11.7;3.4;3.3;0.1;0;59.4;54;50;46;48;48;0.04;0.05;0.05;0.05;0.28;10;0.4;12.1;0.1;1.63;170;42;81;32;16;51;0.5;2.1;0.3;k.A.;ja;nein;nein;nein
Frühlingsrolle;frittiert ;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;938;224;11.2;2.9;5.1;2.7;28;23.1;3;17.2;2.5;6.5;1.5;0;54.8;32;17;<2;180;180;0.11;0.06;0.12;0.22;1.4;23.1;0.25;<0.5;<0.5;0.82;160;610;810;25;16;67;0.9;1;0.6;4.4;ja/nein;ja/nein;ja;nein
Garnele;gekocht ;Fisch zubereitet ;Fisch, Fischerzeugnisse und Meeresfrüchte;pro 100g essbarer Anteil;195;46;0.5;0.1;0.1;0.2;158;1.3;0;0;0;9;0.4;0;89.2;2;2;2;0;0;0.11;0.07;0.06;0;1.47;10.3;0;0.8;0;0.78;170;170;0;32;0;180;0.3;86;0.8;k.A.;nein;nein;ja;ja
Garnele;roh ;Fisch frisch ;Fisch, Fischerzeugnisse und Meeresfrüchte;pro 100g essbarer Anteil;236;56;0.6;0.1;0.1;0.2;150;1.2;Sp.;0;0;11.4;0.5;0;85.5;2;2;2;0;0;0.14;0.09;0.08;Sp.;2;14;Sp.;1;Sp.;0.82;210;190;Sp.;30;Sp.;210;0.3;91;0.8;k.A.;nein;nein;ja;ja
Geflügelfleisch (Durchschnitt exkl. Innereien);roh ;Fleisch frisch ;Fleisch und Fleischerzeugnisse ;pro 100g essbarer Anteil;563;134;5.3;1.6;2.4;1;65;0.1;0;0;0;21.6;0.1;0;73.1;10;10;10;0;0;0.12;0.15;0.56;0.46;8.31;9.6;0.86;0.4;0.9;0.42;310;59;68;7.5;25;200;0.5;5.1;0.9;k.A.;nein;nein;ja;ja
Geflügelfleisch mit Haut (Durchschnitt);roh ;Fleisch frisch ;Fleisch und Fleischerzeugnisse ;pro 100g essbarer Anteil;673;161;9;2.7;4.3;1.5;76;0;0;0;0;20;0.1;0;71;18;18;18;0;0;0.11;0.15;0.61;0.52;5.24;9.3;0.88;0.8;1;0.44;290;56;79;7.2;22;180;0.5;9.3;0.8;k.A.;nein;nein;ja;ja
Geflügelfleisch ohne Haut (Durchschnitt exkl. Innereien);roh ;Fleisch frisch ;Fleisch und Fleischerzeugnisse ;pro 100g essbarer Anteil;480;114;2.4;0.7;1;0.6;58;0.1;0;0;0;22.9;0.2;0;74.6;5;5;5;0;0;0.13;0.16;0.52;0.42;10.35;9.8;0.85;0;0.8;0.42;330;62;60;7.7;27;210;0.5;2;1;k.A.;nein;nein;ja;ja
Geflügellyoner ;;Wurstware ;Fleisch und Fleischerzeugnisse ;pro 100g essbarer Anteil;852;205;16.4;5.1;7.5;2.3;65;0.9;0.9;0;0;13.5;2.3;0;65.3;0;0;Sp.;k.A.;k.A.;0.05;0.11;0.18;0.9;4.6;k.A.;0.9;36.3;Sp.;Sp.;210;920;1190;13;17;210;0.5;k.A.;1.1;8.6;nein;nein;ja;ja
Gehacktes (Durchschnitt aus Rind;Kalb, Schwein, Poulet), gebraten (ohne Zusatz von Fett und Salz) ;Fleisch frisch ;Fleisch und Fleischerzeugnisse ;pro 100g essbarer Anteil;690;164;6.6;2.5;3.1;0.6;79;0;0;0;0;26.3;0.1;0;67.1;5;5;5;3;3;0.42;0.17;0.42;0.85;6.35;7;0.74;0;1;0.39;330;52;77;5.2;23;200;1.4;1.9;3.2;k.A.;nein;nein;ja;ja
Gehacktes (Durchschnitt aus Rind;Kalb, Schwein, Poulet), roh ;Fleisch frisch ;Fleisch und Fleischerzeugnisse ;pro 100g essbarer Anteil;599;143;6.2;2.4;3;0.6;62;0;0;0;0;21.6;0.1;0;72.1;5;5;4;3;3;0.47;0.14;0.49;0.87;6.12;7.3;0.7;0;1;0.36;330;48;61;4.2;20;190;1.1;1.5;2.6;k.A.;nein;nein;ja;ja
Gemüse (Durchschnitt);roh ;Gemüse frisch ;Gemüse ;pro 100g essbarer Anteil;111;26;0.3;0;0;0.1;0;3.7;3.5;0.2;2;1.3;0;0;92.7;215;107;0;1288;1288;0.05;0.05;0.12;0;0.56;35.5;0.26;31.3;0;0.61;230;15;41;27;13;30;0.4;2.6;0.2;k.A.;ja;ja;ja;ja
Gemüsegratin;gebacken ;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;242;58;3.8;2.2;0.9;0.2;9;2.3;1.6;0.8;1.9;2.8;0.3;0;89.2;38;34;30;52;52;0.05;0.05;0.07;0.07;0.82;34;0.28;25.2;0.1;0.25;310;110;150;90;21;71;0.4;4.1;0.4;k.A.;ja;nein;nein;ja
Gemüselasagne;zubereitet ;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;556;133;7.6;4.4;2;0.4;20;11.2;2.5;8.7;1.1;4.4;1.2;0;75.8;81;71;61;118;118;0.02;0.09;0.05;0.12;0.33;5;0.16;7.3;0.1;0.41;120;470;760;120;14;94;0.3;5.7;0.5;k.A.;ja;nein;nein;nein
Gerstenflocken ;;Getreide;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1410;333;1.5;0.3;0.1;0.7;0;66.1;2.2;63.6;10.3;8.5;0;0;12.4;0;0;0;0;0;0.2;0.08;0.29;0;3.1;19;0.49;0;0;0.25;160;3;20;16;66;190;2;1;1.3;2.8;ja;ja;ja;nein
Gerstotto;gekocht ;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;571;135;2.1;0.3;1.3;0.3;0;24.7;1.6;21.8;1.7;3.5;0.8;0;68.2;0;0;0;1;1;0.05;0.02;0.06;0;0.81;5.2;0.06;0.4;0;0.43;57;340;540;13;23;71;1;0.7;0.7;k.A.;ja;ja/nein;ja/nein;nein
Geschnetzeltes (Durchschnitt aus Rind;Kalb, Schwein, Geflügel), gebraten (ohne Zusatz von Fett und Salz) ;Fleisch zubereitet ;Fleisch und Fleischerzeugnisse ;pro 100g essbarer Anteil;633;150;3.8;1.2;1.5;0.5;81;0.1;0;0;0;28.9;0.2;0;67.2;5;5;4;3;3;0.33;0.18;0.49;0.84;6.75;4.9;0.94;0;0.7;0.36;370;62;83;8.6;26;230;1;1.9;3;k.A.;nein;nein;ja;ja
Geschnetzeltes (Durchschnitt aus Rind;Kalb, Schwein, Geflügel), roh ;Fleisch frisch ;Fleisch und Fleischerzeugnisse ;pro 100g essbarer Anteil;498;118;3.3;1;1.4;0.4;59;0.1;0;0;0;22;0.1;0;74.6;4;4;4;3;3;0.35;0.14;0.54;0.8;6.01;4.7;0.83;0;0.6;0.31;340;53;60;6.4;22;200;0.8;1.4;2.3;k.A.;nein;nein;ja;ja
Getreideflocken (Durchschnitt) ;;Getreide;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1470;348;3.2;0.6;0.9;1.4;0;64;1.5;62;9.7;10.8;0;0;12.9;1;0;0;4;4;0.32;0.1;0.27;0;2.78;38.4;0.71;0;0;0.55;250;7.4;34;26;94;280;3.6;2.3;2.2;k.A.;ja;ja;ja;nein
Getreideriegel mit Schokoladeüberzug ;;Getreideprodukte;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1920;459;20.3;11;6.7;2;4;58.1;37.1;19.9;5.4;8.5;0.4;0;6.4;29;24;20;57;57;0.17;0.2;0.14;0;1.08;21.9;0.36;2.5;0;1.22;450;150;190;110;65;210;2.2;7.1;1.5;k.A.;ja;nein;nein;nein
Getreideriegel mit Schokoladeüberzug ;;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;1920;459;20.3;11;6.7;2;4;58.1;37.1;19.9;5.4;8.5;0.4;0;6.4;29;24;20;57;57;0.17;0.2;0.14;0;1.08;21.9;0.36;2.5;0;1.22;450;150;190;110;65;210;2.2;7.1;1.5;k.A.;ja;nein;nein;nein
Getreideriegel;ohne Ueberzug und Füllung ;Getreideprodukte;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1740;415;12.7;5.1;4.6;2.2;0;64.2;32.1;31.4;6;7.9;0.4;0;8.4;8;4;0;49;49;0.18;0.07;0.17;0;1.41;23.3;0.4;1.7;0;1.42;260;180;280;28;58;170;2.1;1.7;1.3;k.A.;ja;ja;ja;nein
Getreideriegel;ohne Ueberzug und Füllung ;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;1740;415;12.7;5.1;4.6;2.2;0;64.2;32.1;31.4;6;7.9;0.4;0;8.4;8;4;0;49;49;0.18;0.07;0.17;0;1.41;23.3;0.4;1.7;0;1.42;260;180;280;28;58;170;2.1;1.7;1.3;k.A.;ja;ja;ja;nein
Gipfeli (Durchschnitt) ;;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1670;400;22;12.8;5.1;1.4;70;41.1;2.7;38;3.4;7.8;1.2;0;26.4;189;182;176;81;81;0.12;0.1;0.11;0.07;0.63;21.9;0.36;0.1;0.4;0.6;160;460;730;33;24;110;1;2.8;1;2.8;ja;nein;nein;nein
Glarner Schabziger ;;Käse, Hartkäse;Milch und Milchprodukte;pro 100g essbarer Anteil;559;132;0.5;0.3;0.1;0;2;Sp.;Sp.;0;0;31.6;4.3;0;58.3;3;3;3;1;1;0.01;0.28;0.05;Sp.;Sp.;Sp.;Sp.;Sp.;Sp.;Sp.;140;1740;Sp.;860;34;560;0.2;Sp.;3.9;k.A.;ja;nein;nein;ja
Gorgonzola ;;Käse, Weichkäse ;Milch und Milchprodukte;pro 100g essbarer Anteil;1480;357;31.2;18.7;7.4;1.4;94;0.1;0.1;0;0;19;3.6;0;42.4;190;182;175;88;88;0.01;0.36;0.07;0.9;0.32;52;1.41;Sp.;0.6;0.54;140;1450;1800;610;20;360;0.3;40;2.5;k.A.;ja;nein;nein;ja
Granatapfel;roh ;Früchte frisch ;Früchte;pro 100g essbarer Anteil;342;81;1.2;0.1;0.1;1;0;14.3;13.3;Sp.;2.3;1.4;0;0;79.4;2;1;0;12;12;0.06;0.02;0.03;0;0.24;8.8;0.31;10.8;0;0.08;230;2;44;9.5;12;27;0.2;1.5;0.2;0.5;ja;ja;ja;ja
Grapefruit (weiss oder rot);roh ;Früchte frisch ;Früchte;pro 100g essbarer Anteil;177;42;0.5;Sp.;Sp.;Sp.;0;8;6.6;Sp.;0.9;0.9;0;0;88.6;66;33;0;396;351;0.06;0.02;0.03;0;0.2;23;0.22;36;0;0.27;130;1;12;23;8;18;0.1;0.3;0.1;<0.2;ja;ja;ja;ja
Greyerzer;vollfett Gruyère;Käse, Hartkäse;Milch und Milchprodukte;pro 100g essbarer Anteil;1640;396;32;19.2;7.5;1.5;96;0;0;0;0;26.4;1.5;0;36;310;300;290;119;119;0.02;0.37;0.13;1.45;0.2;10;0.47;Sp.;0.7;0.35;90;590;900;900;35;600;0.4;11;4.2;k.A.;ja;nein;nein;ja
Griessbrei;zubereitet (mit teilentrahmter Milch, ohne Zugabe von Zucker) ;süsse Gerichte ;Gerichte;pro 100g essbarer Anteil;392;93;3;1.7;0.7;0.2;12;11.8;4.8;6.9;0.3;4.6;0.2;0;80.3;36;34;33;15;15;0.02;0.19;0.03;0.15;0.3;7.3;0.36;0.4;0.1;0.1;170;73;160;130;13;110;0.1;11;0.6;k.A.;ja;nein;nein;nein
Griessbrei;zubereitet (mit Vollmilch, ohne Zugabe von Zucker) ;süsse Gerichte ;Gerichte;pro 100g essbarer Anteil;392;93;3;1.7;0.7;0.2;12;11.8;4.8;6.9;0.3;4.6;0.2;0;80.3;36;34;33;15;15;0.02;0.19;0.03;0.15;0.3;7.3;0.36;0.4;0.1;0.1;170;73;160;130;13;110;0.1;11;0.6;k.A.;ja;nein;nein;nein
Griessschnitte;zubereitet (mit teilentrahmter Milch) ;süsse Gerichte ;Gerichte;pro 100g essbarer Anteil;599;143;6.4;3.3;1.6;0.5;59;15;4;11;0.5;6.1;0.3;0;72.1;60;58;57;18;18;0.03;0.18;0.03;0.24;0.4;15.8;0.54;0.3;0.4;0.28;170;100;190;110;14;120;0.4;14;0.8;k.A.;ja;nein;nein;nein
Griessschnitte;zubereitet (mit Vollmilch) ;süsse Gerichte ;Gerichte;pro 100g essbarer Anteil;637;152;7.5;4;1.9;0.6;63;15;4;11;0.5;6;0.3;0;71.1;70;68;66;22;22;0.03;0.21;0.04;0.25;0.4;15.8;0.54;0.6;0.4;0.32;170;100;190;110;14;110;0.4;13;0.8;k.A.;ja;nein;nein;nein
Grittibänz ;;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1380;329;11.1;6.4;2.6;0.9;41;46.9;2.8;43.7;2.2;9.2;1.4;0;31.2;96;93;90;40;40;0.11;0.13;0.06;0.1;0.5;23.2;0.38;0.2;0.3;0.34;180;570;900;49;14;91;0.5;5.4;0.6;2.7;ja;nein;nein;nein
Gugelhopf Grossmutter Art ;;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1920;462;32;13.2;14;2.2;99;33.3;26.9;5;3.1;8.8;0.4;0;23.6;143;138;133;59;59;0.12;0.15;0.12;0.28;0.37;21.6;0.68;0.3;0.7;3.61;340;150;210;49;54;120;2.1;9.7;1.2;k.A.;ja;nein;nein;nein
Gugelhopf Grossmutter Art ;;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;1920;462;32;13.2;14;2.2;99;33.3;26.9;5;3.1;8.8;0.4;0;23.6;143;138;133;59;59;0.12;0.15;0.12;0.28;0.37;21.6;0.68;0.3;0.7;3.61;340;150;210;49;54;120;2.1;9.7;1.2;k.A.;ja;nein;nein;nein
